record_id,Measurement_timestamp,Vehicle_speed_sensor,Vibration,Engine_Load,Engine_Coolant_Temp,Intake_Manifold_Pressure,Engine_RPM,Speed_OBD,Intake_Air_Temp,Mass_Air_Flow_Rate,Throttle_Pos_Manifold,Voltage_Control_Module,Ambient_air_temp,Accel_Pedal_Pos_D,Engine_Oil_Temp,Litres_Per_100km_Inst,CO2_in_g_per_km_Inst,Maintenance_flag
1,22FEB16:16:01:07,88,246.240538,41.960785,90,181,1665.5,88,10,43.72,80,14.18,6,42.352943,87,10.849181,286.96063,0
2,22FEB16:16:01:08,88,246.240538,2.745098,90,126,1665.5,88,10,28.19,79.60784,14.2,6,14.901961,87,3.278558,86.7178,0
3,22FEB16:16:01:09,87,246.296167,2.745098,90,126,1359,87,10,22.55,79.60784,14.2,6,29.411766,88,0,0,0
4,22FEB16:16:01:10,86,246.351796,9.411765,90,126,1327,86,10,21.97,76.07843,14.22,6,23.92157,88,0,0,0
5,22FEB16:16:01:11,86,246.351796,9.411765,90,126,1302.5,86,10,21.63,79.60784,14.14,6,42.352943,88,0,15.992998,0
6,22FEB16:16:01:12,83,246.518683,92.94118,90,135,1407.5,83,10,28.55,80,14.14,6,42.352943,88,8.10098,214.27077,0
6,22FEB16:16:01:12,83,246.518683,92.94118,90,135,1407.5,83,10,28.55,80,14.14,6,42.352943,88,8.10098,214.27077,0
7,22FEB16:16:01:13,83,246.518683,99.60784,90,151,1343.5,83,11,30.88,80,14.1,6,36.862747,88,9.448594,249.91515,0
7,22FEB16:16:01:13,83,246.518683,99.60784,90,151,1343.5,83,11,30.88,80,14.1,6,36.862747,88,9.448594,249.91515,0
8,22FEB16:16:01:14,83,246.518683,99.60784,90,149,1350.5,83,11,32.55,80,14.1,6,39.607845,88,9.959577,263.43063,0
8,22FEB16:16:01:14,83,246.518683,99.60784,90,149,1350.5,83,11,32.55,80,14.1,6,39.607845,88,9.959577,263.43063,0
9,22FEB16:16:01:15,85,246.407425,12.941176,90,122,1321,85,10,32.55,80,14.24,6,14.901961,88,9.959577,263.43063,0
10,22FEB16:16:01:16,85,246.407425,12.941176,90,108,1321,85,10,21.74,79.60784,14.22,6,14.901961,87,0,21.849388,0
10,22FEB16:16:01:16,85,246.407425,12.941176,90,108,1321,85,10,21.74,79.60784,14.22,6,14.901961,87,0,21.849388,0
11,22FEB16:16:01:17,83,246.518683,27.843138,90,108,1297,83,10,21.36,78.43137,14.18,6,14.901961,87,0,21.467478,0
12,22FEB16:16:01:18,81,246.629941,1.176471,90,108,1257.5,81,10,21.27,80,14.22,6,14.901961,87,1.736959,45.94253,0
13,22FEB16:16:01:19,81,246.629941,1.176471,90,106,1257.5,81,10,21.27,80,14.18,6,14.901961,87,1.736959,45.94253,0
14,22FEB16:16:01:20,77,246.852457,0,90,106,1154,77,10,19.16,80,14.24,6,14.901961,87,0,0,0
15,22FEB16:16:01:21,77,246.852457,0,90,106,1112.5,77,10,19.16,80,14.24,6,14.901961,87,0,0,0
16,22FEB16:16:01:22,70,247.24186,0,90,106,1072.5,70,10,19.16,80,14.24,6,14.901961,87,0,0,0
17,22FEB16:16:01:23,70,247.24186,0,90,106,1072.5,70,10,19.16,80,14.18,6,14.901961,87,0,0,0
18,22FEB16:16:01:24,70,247.24186,0,89,108,1209.5,70,10,19.99,80,14.18,6,14.901961,87,0,0,0
19,22FEB16:16:01:25,64,247.575634,87.45098,89,128,1228.5,64,10,20.91,80,14.18,6,46.27451,86,0,0,0
20,22FEB16:16:01:26,64,247.575634,87.45098,89,165,1228.5,64,10,34.69,80,14.22,6,39.215687,86,11.951971,316.12943,0
21,22FEB16:16:01:27,68,247.353118,87.45098,89,165,1707,68,11,41.94,80,14.22,6,37.64706,86,13.599869,359.71628,0
21,22FEB16:16:01:27,68,247.353118,87.45098,89,165,1707,68,11,41.94,80,14.22,6,37.64706,86,13.599869,359.71628,0
22,22FEB16:16:01:28,71,247.186231,31.764706,89,122,1707,71,11,28.47,80,14.04,6,14.901961,87,3.099096,81.97103,0
23,22FEB16:16:01:29,68,247.353118,32.941177,89,108,1271,68,10,21.47,80,14.04,6,32.54902,87,2.337112,61.816578,0
23,22FEB16:16:01:29,68,247.353118,32.941177,89,108,1271,68,10,21.47,80,14.04,6,32.54902,87,2.337112,61.816578,0
24,22FEB16:16:01:30,68,247.353118,91.37255,89,108,1326.5,68,10,21.47,80,13.98,6,32.54902,87,2.337112,61.816578,0
25,22FEB16:16:01:31,69,247.297489,91.37255,89,128,1313,69,10,22.97,80,13.98,6,40,87,7.809976,206.57373,0
26,22FEB16:16:01:32,70,247.24186,99.60784,89,120,1327.5,70,10,25.66,80,14.22,6,40,87,8.598154,227.421,0
27,22FEB16:16:01:33,70,247.24186,52.941177,89,135,1327.5,70,10,35.22,80,14.18,6,40,87,6.535628,172.86723,0
28,22FEB16:16:01:34,73,247.074973,99.60784,89,154,1451,73,10,35.94,80,14.18,6,39.607845,87,12.503259,330.71097,0
29,22FEB16:16:01:35,73,247.074973,99.60784,89,130,1419,73,10,35.94,80,14.2,6,33.72549,87,12.503259,330.71097,0
30,22FEB16:16:01:36,77,246.852457,70.588234,89,130,1435,77,10,23.74,80,14.16,6,33.72549,87,8.258969,218.44958,0
31,22FEB16:16:01:37,77,246.852457,70.588234,89,130,1454,77,10,27.97,73.725494,14.22,6,34.509804,87,6.37299,168.56548,0
32,22FEB16:16:01:38,77,246.852457,70.588234,90,116,1454,77,10,27.97,70.98039,14.14,6,33.333332,87,6.37299,168.56548,0
32,22FEB16:16:01:38,77,246.852457,70.588234,90,116,1454,77,10,27.97,70.98039,14.14,6,33.333332,87,6.37299,168.56548,0
33,22FEB16:16:01:39,79,246.741199,96.86275,90,127,1251,79,11,20.83,80,14.16,6,34.901962,87,4.746135,125.53518,0
34,22FEB16:16:01:40,79,246.741199,99.21569,90,145,1251,79,11,29.38,80,14.22,6,34.901962,87,9.404172,248.74017,0
